Product ID,Product Name,Category,Subcategory,Units Sold,Manufacturing Price (INR),Sale Price (INR),Profit (INR),Country,State,City,Date of Purchase,Ratings
877573,Malm Bed Frame,Furniture,Bedroom Furniture,48,5495.78,5910.08,414.3,India,Maharashtra,Mumbai,27-07-2023,4.5
131245,Oumbarlig Saucepan,Kitchen and Dining,Cookware,38,7475.57,8081.43,605.86,India,Maharashtra,Mumbai,24-02-2024,4.2
131245,Oumbarlig Saucepan,Kitchen and Dining,Cookware,46,10267.04,11497.23,1230.19,India,Karnataka,Bangalore,09-05-2024,4.7
356788,Billy Bookshelf,Furniture,Living Room Furniture,28,6629.74,8479.7,1849.96,India,Telangana,Hyderabad,17-02-2023,3.2
671859,Raskog Utility Cart,Storage and Organization,Kitchen Storage,23,7342.45,10012.61,2670.16,India,Maharashtra,Mumbai,07-04-2024,4.1
671859,Raskog Utility Cart,Storage and Organization,Kitchen Storage,36,6961.81,9613,2651.19,India,Maharashtra,Mumbai,01-07-2023,4.2
126226,Lack Coffee Table,Furniture,Living Room Furniture,43,5779.14,8967.61,3188.47,India,Maharashtra,Mumbai,06-08-2024,4.7
671859,Raskog Utility Cart,Storage and Organization,Kitchen Storage,30,6802.31,8675.57,1873.26,India,Delhi,New Delhi,15-06-2024,4.4
126226,Lack Coffee Table,Furniture,Living Room Furniture,41,4371.28,5663.02,1291.74,India,West Bengal,Kolkata,25-07-2024,3.5
131245,Oumbarlig Saucepan,Kitchen and Dining,Cookware,44,7498.7,9120.8,1622.1,India,Karnataka,Bangalore,26-03-2024,3.1
809571,Applaro Outdoor Set,Furniture,Outdoor Furniture,18,2005.97,5173.07,3167.1,India,Tamil Nadu,Chennai,19-12-2023,3.6
542418,Vardagen Frying Pan,Kitchen and Dining,Cookware,42,8302.74,10002.16,1699.42,India,Tamil Nadu,Chennai,18-07-2023,4.1
198247,Ledberg LED Strip,Home Decor,Lighting,38,7766.99,9539.64,1772.65,India,Tamil Nadu,Chennai,11-01-2024,4
216740,Poang Armchair,Furniture,Living Room Furniture,10,4705.16,5465.46,760.3,India,Maharashtra,Mumbai,29-04-2024,3.8
719177,Trofast Storage Unit,Storage and Organization,Storage Furniture,17,2048.57,3989.97,1941.4,India,West Bengal,Kolkata,01-09-2023,4.5
809571,Applaro Outdoor Set,Furniture,Outdoor Furniture,19,7939.32,9388.37,1449.05,India,Maharashtra,Mumbai,17-10-2024,4.4
133327,Ikea 365 Plate Set,Kitchen and Dining,Dinnerware,33,3984.04,5709.61,1725.57,India,Karnataka,Bangalore,03-12-2024,4.2
388390,Pax Wardrobe,Furniture,Bedroom Furniture,49,4224.76,6453.41,2228.65,India,Delhi,New Delhi,02-02-2023,3
809571,Applaro Outdoor Set,Furniture,Outdoor Furniture,2,4190.2,7171.61,2981.41,India,Tamil Nadu,Chennai,08-09-2024,3.6
216740,Poang Armchair,Furniture,Living Room Furniture,37,1961.31,2828.72,867.41,India,Karnataka,Bangalore,14-10-2024,4.5
388390,Pax Wardrobe,Furniture,Bedroom Furniture,43,10180.7,11483.74,1303.04,India,Karnataka,Bangalore,01-06-2023,4.2
334054,Ingatorp Dining Table,Furniture,Dining Room Furniture,49,5220.9,7162.76,1941.86,India,West Bengal,Kolkata,23-07-2024,3.7
133327,Ikea 365 Plate Set,Kitchen and Dining,Dinnerware,8,5010.39,6694.14,1683.75,India,Tamil Nadu,Chennai,22-12-2023,3.5
246317,Franklin Bar Stool,Furniture,Dining Room Furniture,5,1921.88,4999.28,3077.4,India,Maharashtra,Mumbai,19-10-2023,3.1
246317,Franklin Bar Stool,Furniture,Dining Room Furniture,43,8881.47,10950.97,2069.5,India,Delhi,New Delhi,31-08-2023,4.1
542418,Vardagen Frying Pan,Kitchen and Dining,Cookware,31,7549.82,8557.32,1007.5,India,Karnataka,Bangalore,28-05-2023,3.8
719177,Trofast Storage Unit,Storage and Organization,Storage Furniture,4,2233.23,4926.74,2693.51,India,Telangana,Hyderabad,14-07-2023,3.2
334054,Ingatorp Dining Table,Furniture,Dining Room Furniture,35,8130.36,9330.85,1200.49,India,Karnataka,Bangalore,12-09-2024,4.7
126226,Lack Coffee Table,Furniture,Living Room Furniture,36,2205.18,5376.16,3170.98,India,Tamil Nadu,Chennai,16-10-2023,4.9
246317,Franklin Bar Stool,Furniture,Dining Room Furniture,27,9418.72,12520.58,3101.86,India,Karnataka,Bangalore,17-04-2023,3.3
770488,Kivik Sofa,Furniture,Living Room Furniture,17,8524.5,11030.4,2505.9,India,Tamil Nadu,Chennai,10-04-2023,4.6
542418,Vardagen Frying Pan,Kitchen and Dining,Cookware,13,5796.4,7355.6,1559.2,India,Karnataka,Bangalore,19-11-2023,3.1
809571,Applaro Outdoor Set,Furniture,Outdoor Furniture,4,9316.7,10910.65,1593.95,India,Maharashtra,Mumbai,13-04-2023,4.9
126226,Lack Coffee Table,Furniture,Living Room Furniture,5,2963.43,3556.01,592.58,India,Karnataka,Bangalore,02-11-2023,4.8
246317,Franklin Bar Stool,Furniture,Dining Room Furniture,39,2389.76,4185.94,1796.18,India,West Bengal,Kolkata,16-11-2024,4
872247,Bekant Desk,Furniture,Office Furniture,43,6124.37,8061.43,1937.06,India,Karnataka,Bangalore,22-10-2023,3.6
809571,Applaro Outdoor Set,Furniture,Outdoor Furniture,1,9250.32,10294.77,1044.45,India,Maharashtra,Mumbai,10-05-2024,4.1
133327,Ikea 365 Plate Set,Kitchen and Dining,Dinnerware,9,7979.73,10037.69,2057.96,India,Delhi,New Delhi,21-08-2023,3.3
131245,Oumbarlig Saucepan,Kitchen and Dining,Cookware,20,9181.65,11006.06,1824.41,India,Telangana,Hyderabad,15-10-2024,4.3
388390,Pax Wardrobe,Furniture,Bedroom Furniture,8,3737.83,4534.51,796.68,India,Delhi,New Delhi,02-03-2023,3.4
809571,Applaro Outdoor Set,Furniture,Outdoor Furniture,44,5835.82,8028.82,2193,India,Karnataka,Bangalore,16-08-2024,3.1
191162,Samla Storage Box,Storage and Organization,Boxes and Baskets,3,1225.11,3380.94,2155.83,India,Delhi,New Delhi,19-01-2024,3.3
719177,Trofast Storage Unit,Storage and Organization,Storage Furniture,46,8628.81,10686.72,2057.91,India,West Bengal,Kolkata,19-03-2024,4.4
388390,Pax Wardrobe,Furniture,Bedroom Furniture,3,7714.02,8191.05,477.03,India,West Bengal,Kolkata,04-05-2023,3.6
216740,Poang Armchair,Furniture,Living Room Furniture,14,5921.87,7572.15,1650.28,India,Delhi,New Delhi,13-01-2025,4.7
329259,Vindum High-Pile Rug,Home Decor,Textiles,10,6107.21,9193.06,3085.85,India,Telangana,Hyderabad,18-11-2023,4.8
770488,Kivik Sofa,Furniture,Living Room Furniture,48,7506.77,9464.15,1957.38,India,Karnataka,Bangalore,30-03-2023,4.5
246317,Franklin Bar Stool,Furniture,Dining Room Furniture,11,3036.08,4035.55,999.47,India,Delhi,New Delhi,31-03-2024,3.4
719177,Trofast Storage Unit,Storage and Organization,Storage Furniture,20,4673.85,6460.83,1786.98,India,Delhi,New Delhi,12-09-2023,3.6
126226,Lack Coffee Table,Furniture,Living Room Furniture,23,9645.36,12189.52,2544.16,India,Delhi,New Delhi,02-11-2024,4.9
877573,Malm Bed Frame,Furniture,Bedroom Furniture,12,4925.51,6511.74,1586.23,India,Delhi,New Delhi,30-05-2024,4.6
191162,Samla Storage Box,Storage and Organization,Boxes and Baskets,33,3164.39,4538.72,1374.33,India,West Bengal,Kolkata,22-05-2024,4.4
770488,Kivik Sofa,Furniture,Living Room Furniture,35,4456.44,5889.88,1433.44,India,West Bengal,Kolkata,15-12-2024,3.7
809571,Applaro Outdoor Set,Furniture,Outdoor Furniture,8,6434.25,8086.96,1652.71,India,Telangana,Hyderabad,27-11-2024,4.4
131245,Oumbarlig Saucepan,Kitchen and Dining,Cookware,13,8717.86,10782.85,2064.99,India,Karnataka,Bangalore,04-11-2023,3.3
198247,Ledberg LED Strip,Home Decor,Lighting,26,11144.45,12020.63,876.18,India,Delhi,New Delhi,20-04-2024,4.6
